00-01-01 00:00:02 --- one package
00-01-01 00:00:02 ---  -879  -161 16748
00-01-01 00:00:02 ---  -879  -161 16748
00-01-01 00:00:02 ---  -879  -161 16748
00-01-01 00:00:02 ---  -879  -161 16748
00-01-01 00:00:02 ---  -879  -161 16748
00-01-01 00:00:02 ---  -879  -161 16748
00-01-01 00:00:02 ---  -879  -161 16748
00-01-01 00:00:02 ---  -879  -161 16748
00-01-01 00:00:02 ---  -879  -161 16748
00-01-01 00:00:02 ---  -879  -161 16748
00-01-01 00:00:02 ---  -879  -161 16748
00-01-01 00:00:02 ---  -879  -161 16748
00-01-01 00:00:02 ---  -879  -161 16748
00-01-01 00:00:02 ---  -879  -161 16748
00-01-01 00:00:02 ---  -467  -155  8197
00-01-01 00:00:02 ---  -472  -153  8140
00-01-01 00:00:02 ---  -476  -152  8142
00-01-01 00:00:02 ---  -482  -150  8177
00-01-01 00:00:02 ---  -490  -146  8216
00-01-01 00:00:02 ---  -495  -147  8242
00-01-01 00:00:02 ---  -495  -141  8265
00-01-01 00:00:02 ---  -492  -145  8281
00-01-01 00:00:02 ---  -490  -149  8295
00-01-01 00:00:02 ---  -487  -159  8309
00-01-01 00:00:02 ---  -485  -167  8314
00-01-01 00:00:02 ---  -484  -172  8323
00-01-01 00:00:02 ---  -478  -167  8324
00-01-01 00:00:02 ---  -481  -160  8325
00-01-01 00:00:02 ---  -476  -144  8321
00-01-01 00:00:02 ---  -485  -135  8315
00-01-01 00:00:02 ---  -494  -125  8301
00-01-01 00:00:02 ---  -501  -121  8285
00-01-01 00:00:02 ---  -509  -121  8276
00-01-01 00:00:02 ---  -513  -115  8264
00-01-01 00:00:02 ---  -515  -117  8262
00-01-01 00:00:02 ---  -514  -117  8256
00-01-01 00:00:02 ---  -513  -129  8259
00-01-01 00:00:02 ---  -508  -142  8251
00-01-01 00:00:02 ---  -505  -156  8251
00-01-01 00:00:02 ---  -497  -167  8249
00-01-01 00:00:02 ---  -488  -169  8254
00-01-01 00:00:02 ---  -487  -166  8257
00-01-01 00:00:02 ---  -485  -154  8263
00-01-01 00:00:02 ---  -490  -117  8272
00-01-01 00:00:02 ---  -502  -107  8279
00-01-01 00:00:02 ---  -511  -100  8278
00-01-01 00:00:02 ---  -518  -107  8283
00-01-01 00:00:02 ---  -523  -110  8281
00-01-01 00:00:02 ---  -519  -117  8284
00-01-01 00:00:02 ---  -506  -121  8291
00-01-01 00:00:02 ---  -502  -124  8287
00-01-01 00:00:02 ---  -497  -127  8288
00-01-01 00:00:02 ---  -496  -126  8283
00-01-01 00:00:02 ---  -505  -130  8286
00-01-01 00:00:02 ---  -513  -130  8285
00-01-01 00:00:02 ---  -522  -138  8288
00-01-01 00:00:02 ---  -529  -142  8287
00-01-01 00:00:02 ---  -531  -142  8291
00-01-01 00:00:02 ---  -536  -140  8294
00-01-01 00:00:02 ---  -546  -130  8291
00-01-01 00:00:02 ---  -550  -118  8290
00-01-01 00:00:02 ---  -562  -112  8292
00-01-01 00:00:02 ---  -562  -110  8291
00-01-01 00:00:02 ---  -565  -119  8300
00-01-01 00:00:02 ---  -562  -124  8285
00-01-01 00:00:02 ---  -557  -131  8281
00-01-01 00:00:02 ---  -551  -125  8263
00-01-01 00:00:02 ---  -541  -118  8262
00-01-01 00:00:02 ---  -540  -111  8262
00-01-01 00:00:02 ---  -541   -99  8269
00-01-01 00:00:02 ---  -549   -98  8277
00-01-01 00:00:02 ---  -554   -96  8292
00-01-01 00:00:02 ---  -553  -105  8297
00-01-01 00:00:02 ---  -549  -111  8304
00-01-01 00:00:02 ---  -541  -124  8308
00-01-01 00:00:02 ---  -539  -123  8301
00-01-01 00:00:02 ---  -537  -129  8304
00-01-01 00:00:02 ---  -539  -120  8298
00-01-01 00:00:02 ---  -543  -115  8292
00-01-01 00:00:02 ---  -554  -107  8283
00-01-01 00:00:02 ---  -556  -103  8275
00-01-01 00:00:02 ---  -565  -104  8271
00-01-01 00:00:02 ---  -562  -105  8264
00-01-01 00:00:02 ---  -553  -109  8263
00-01-01 00:00:02 ---  -549  -108  8259
00-01-01 00:00:02 ---  -541  -109  8263
00-01-01 00:00:02 ---  -536  -107  8266
00-01-01 00:00:02 ---  -536  -107  8271
00-01-01 00:00:02 ---  -533  -105  8271
00-01-01 00:00:02 ---  -541  -101  8273
00-01-01 00:00:02 ---  -538  -104  8274
00-01-01 00:00:02 ---  -543  -104  8278
00-01-01 00:00:02 ---  -538  -108  8283
00-01-01 00:00:02 ---  -534  -113  8286
00-01-01 00:00:02 ---  -529  -111  8293
00-01-01 00:00:02 ---  -523  -111  8292
00-01-01 00:00:02 ---  -517  -104  8294
00-01-01 00:00:02 ---  -512  -105  8285
00-01-01 00:00:02 ---  -512  -106  8278
00-01-01 00:00:02 ---  -510  -109  8281
00-01-01 00:00:03 ---  -508  -112  8291
00-01-01 00:00:03 ---  -506  -113  8308
00-01-01 00:00:03 ---  -501  -117  8322
