00-01-01 00:00:02 --- one package
00-01-01 00:00:02 ---  -467  -802 15708
00-01-01 00:00:02 ---  -467  -802 15708
00-01-01 00:00:02 ---  -467  -802 15708
00-01-01 00:00:02 ---  -467  -802 15708
00-01-01 00:00:02 ---  -467  -802 15708
00-01-01 00:00:02 ---  -467  -802 15708
00-01-01 00:00:02 ---  -467  -802 15708
00-01-01 00:00:02 ---  -467  -802 15708
00-01-01 00:00:02 ---  -467  -802 15708
00-01-01 00:00:02 ---  -467  -802 15708
00-01-01 00:00:02 ---  -467  -802 15708
00-01-01 00:00:02 ---  -467  -802 15708
00-01-01 00:00:02 ---  -467  -802 15708
00-01-01 00:00:02 ---  -816   741  8509
00-01-01 00:00:02 ---  -812   860  8879
00-01-01 00:00:02 ---  -926   460  9198
00-01-01 00:00:02 --- -1145  -179  9396
00-01-01 00:00:02 --- -1274  -710  9433
00-01-01 00:00:02 --- -1288  -871  9227
00-01-01 00:00:02 --- -1095  -632  8797
00-01-01 00:00:02 ---  -723  -130  8223
00-01-01 00:00:02 ---  -255   270  7660
00-01-01 00:00:02 ---   215   289  7280
00-01-01 00:00:02 ---   535   -80  7170
00-01-01 00:00:02 ---   547  -678  7297
00-01-01 00:00:02 ---   268 -1187  7482
00-01-01 00:00:02 ---  -201 -1317  7636
00-01-01 00:00:02 ---  -661 -1031  7714
00-01-01 00:00:02 ---  -942  -474  7878
00-01-01 00:00:02 --- -1035    79  8294
00-01-01 00:00:02 --- -1033   370  8922
00-01-01 00:00:02 --- -1023   321  9569
00-01-01 00:00:02 --- -1109    23  9892
00-01-01 00:00:02 --- -1243  -297  9709
00-01-01 00:00:02 --- -1341  -422  9181
00-01-01 00:00:02 --- -1278  -311  8557
00-01-01 00:00:02 --- -1019   -88  8131
00-01-01 00:00:02 ---  -550    29  7857
00-01-01 00:00:02 ---   -70  -103  7670
00-01-01 00:00:02 ---   270  -486  7404
00-01-01 00:00:02 ---   377  -915  7206
00-01-01 00:00:02 ---   205 -1163  7167
