00-01-01 00:00:02 --- one package
00-01-01 00:00:02 ---  -898  -176 16741
00-01-01 00:00:02 ---  -898  -176 16741
00-01-01 00:00:02 ---  -898  -176 16741
00-01-01 00:00:02 ---  -898  -176 16741
00-01-01 00:00:02 ---  -898  -176 16741
00-01-01 00:00:02 ---  -898  -176 16741
00-01-01 00:00:02 ---  -898  -176 16741
00-01-01 00:00:02 ---  -898  -176 16741
00-01-01 00:00:02 ---  -898  -176 16741
00-01-01 00:00:02 ---  -898  -176 16741
00-01-01 00:00:02 ---  -898  -176 16741
00-01-01 00:00:02 ---  -898  -176 16741
00-01-01 00:00:02 ---  -898  -176 16741
00-01-01 00:00:02 ---  -642   -91  8227
00-01-01 00:00:02 ---  -519   -86  8166
00-01-01 00:00:02 ---  -512   -86  8164
00-01-01 00:00:02 ---  -511   -86  8193
00-01-01 00:00:02 ---  -508   -91  8241
00-01-01 00:00:02 ---  -503   -92  8283
00-01-01 00:00:02 ---  -500   -98  8312
00-01-01 00:00:02 ---  -494   -93  8328
00-01-01 00:00:02 ---  -499   -95  8331
00-01-01 00:00:02 ---  -499   -88  8329
00-01-01 00:00:02 ---  -498   -86  8321
00-01-01 00:00:02 ---  -494   -80  8311
00-01-01 00:00:02 ---  -495   -78  8298
00-01-01 00:00:02 ---  -499   -78  8290
00-01-01 00:00:02 ---  -507   -81  8283
00-01-01 00:00:02 ---  -519   -85  8278
00-01-01 00:00:02 ---  -526   -94  8274
00-01-01 00:00:02 ---  -530   -98  8274
00-01-01 00:00:02 ---  -528   -99  8277
00-01-01 00:00:02 ---  -523  -105  8284
00-01-01 00:00:02 ---  -518  -102  8285
00-01-01 00:00:02 ---  -514  -106  8290
00-01-01 00:00:02 ---  -516  -105  8289
00-01-01 00:00:02 ---  -520  -109  8286
00-01-01 00:00:02 ---  -530  -109  8296
00-01-01 00:00:02 ---  -536  -113  8297
00-01-01 00:00:02 ---  -540  -118  8302
00-01-01 00:00:02 ---  -531  -120  8302
00-01-01 00:00:02 ---  -526  -130  8291
00-01-01 00:00:02 ---  -522  -134  8284
00-01-01 00:00:02 ---  -522  -143  8271
00-01-01 00:00:02 ---  -523  -152  8273
00-01-01 00:00:02 ---  -523  -157  8277
00-01-01 00:00:02 ---  -520  -156  8282
00-01-01 00:00:02 ---  -524  -153  8291
00-01-01 00:00:02 ---  -526  -154  8293
00-01-01 00:00:02 ---  -531  -152  8293
00-01-01 00:00:02 ---  -528  -164  8286
00-01-01 00:00:02 ---  -536  -166  8283
00-01-01 00:00:02 ---  -537  -176  8278
00-01-01 00:00:02 ---  -548  -177  8273
00-01-01 00:00:02 ---  -556  -179  8271
00-01-01 00:00:02 ---  -560  -175  8265
00-01-01 00:00:02 ---  -565  -173  8263
00-01-01 00:00:02 ---  -559  -161  8260
00-01-01 00:00:02 ---  -554  -159  8261
00-01-01 00:00:02 ---  -550  -157  8260
00-01-01 00:00:02 ---  -547  -160  8272
00-01-01 00:00:02 ---  -543  -173  8283
00-01-01 00:00:02 ---  -544  -183  8297
00-01-01 00:00:02 ---  -537  -194  8303
00-01-01 00:00:02 ---  -532  -201  8304
00-01-01 00:00:02 ---  -532  -204  8298
00-01-01 00:00:02 ---  -536  -200  8294
00-01-01 00:00:02 ---  -537  -192  8293
00-01-01 00:00:02 ---  -542  -187  8287
00-01-01 00:00:02 ---  -547  -177  8287
00-01-01 00:00:02 ---  -548  -175  8278
00-01-01 00:00:02 ---  -556  -171  8278
00-01-01 00:00:02 ---  -557  -173  8280
00-01-01 00:00:02 ---  -554  -177  8286
00-01-01 00:00:02 ---  -546  -182  8288
00-01-01 00:00:02 ---  -540  -186  8287
00-01-01 00:00:02 ---  -538  -190  8279
00-01-01 00:00:02 ---  -538  -183  8278
00-01-01 00:00:02 ---  -543  -177  8273
00-01-01 00:00:02 ---  -546  -169  8281
00-01-01 00:00:02 ---  -545  -165  8280
00-01-01 00:00:02 ---  -543  -161  8293
00-01-01 00:00:02 ---  -541  -164  8299
00-01-01 00:00:02 ---  -539  -157  8301
00-01-01 00:00:02 ---  -542  -150  8305
00-01-01 00:00:02 ---  -546  -143  8292
00-01-01 00:00:02 ---  -551  -140  8283
00-01-01 00:00:02 ---  -545  -138  8272
00-01-01 00:00:02 ---  -539  -138  8265
00-01-01 00:00:02 ---  -526  -139  8271
00-01-01 00:00:02 ---  -518  -138  8272
00-01-01 00:00:02 ---  -513  -142  8281
00-01-01 00:00:02 ---  -513  -146  8286
00-01-01 00:00:02 ---  -516  -146  8290
00-01-01 00:00:02 ---  -520  -143  8291
00-01-01 00:00:02 ---  -530  -136  8288
00-01-01 00:00:02 ---  -538  -126  8289
00-01-01 00:00:02 ---  -539  -124  8282
00-01-01 00:00:02 ---  -541  -116  8280
00-01-01 00:00:02 ---  -532  -111  8279
00-01-01 00:00:03 ---  -529  -106  8272
00-01-01 00:00:03 ---  -520  -102  8277
00-01-01 00:00:03 ---  -514  -102  8278
00-01-01 00:00:03 ---  -510  -105  8286
00-01-01 00:00:03 ---  -505  -109  8283
00-01-01 00:00:03 ---  -510  -108  8278
00-01-01 00:00:03 ---  -514  -108  8272
00-01-01 00:00:03 ---  -523  -101  8266
00-01-01 00:00:03 ---  -523   -98  8266
00-01-01 00:00:03 ---  -521   -89  8265
00-01-01 00:00:03 ---  -515   -90  8273
00-01-01 00:00:03 ---  -504   -95  8274
00-01-01 00:00:03 ---  -501   -94  8277
00-01-01 00:00:03 ---  -500   -93  8281
00-01-01 00:00:03 ---  -499   -86  8278
00-01-01 00:00:03 ---  -502   -78  8282
00-01-01 00:00:03 ---  -502   -74  8290
00-01-01 00:00:03 ---  -495   -72  8291
00-01-01 00:00:03 ---  -494   -71  8298
00-01-01 00:00:03 ---  -494   -77  8295
00-01-01 00:00:03 ---  -503   -79  8282
00-01-01 00:00:03 ---  -520   -87  8279
00-01-01 00:00:03 ---  -534   -89  8273
00-01-01 00:00:03 ---  -539   -95  8276
00-01-01 00:00:03 ---  -534   -95  8285
00-01-01 00:00:03 ---  -521   -99  8289
00-01-01 00:00:03 ---  -508  -100  8287
00-01-01 00:00:03 ---  -508  -102  8284
00-01-01 00:00:03 ---  -507  -105  8285
00-01-01 00:00:03 ---  -513  -102  8281
00-01-01 00:00:03 ---  -512  -104  8290
00-01-01 00:00:03 ---  -503  -104  8295
00-01-01 00:00:03 ---  -507  -108  8299
00-01-01 00:00:03 ---  -503  -111  8305
00-01-01 00:00:03 ---  -510  -113  8301
00-01-01 00:00:03 ---  -514  -113  8299
00-01-01 00:00:03 ---  -513  -114  8287
00-01-01 00:00:03 ---  -514  -110  8280
00-01-01 00:00:03 ---  -519  -115  8267
00-01-01 00:00:03 ---  -526  -114  8256
00-01-01 00:00:03 ---  -535  -120  8254
00-01-01 00:00:03 ---  -543  -126  8245
00-01-01 00:00:03 ---  -548  -131  8248
00-01-01 00:00:03 ---  -547  -135  8247
00-01-01 00:00:03 ---  -543  -136  8254
00-01-01 00:00:03 ---  -534  -134  8261
00-01-01 00:00:03 ---  -533  -135  8276
00-01-01 00:00:03 ---  -525  -135  8284
00-01-01 00:00:03 ---  -528  -138  8292
00-01-01 00:00:03 ---  -528  -140  8296
00-01-01 00:00:03 ---  -536  -143  8297
00-01-01 00:00:03 ---  -535  -142  8293
00-01-01 00:00:03 ---  -538  -142  8293
00-01-01 00:00:03 ---  -537  -138  8291
00-01-01 00:00:03 ---  -535  -143  8296
00-01-01 00:00:03 ---  -532  -143  8303
00-01-01 00:00:03 ---  -527  -148  8304
00-01-01 00:00:03 ---  -521  -150  8310
00-01-01 00:00:03 ---  -518  -154  8306
00-01-01 00:00:03 ---  -521  -154  8297
00-01-01 00:00:03 ---  -527  -164  8284
00-01-01 00:00:03 ---  -537  -165  8266
00-01-01 00:00:03 ---  -542  -170  8247
00-01-01 00:00:03 ---  -545  -170  8239
00-01-01 00:00:03 ---  -550  -166  8237
00-01-01 00:00:03 ---  -551  -163  8241
00-01-01 00:00:03 ---  -552  -162  8247
00-01-01 00:00:03 ---  -548  -159  8251
00-01-01 00:00:03 ---  -546  -160  8257
00-01-01 00:00:03 ---  -545  -158  8259
00-01-01 00:00:03 ---  -549  -154  8268
00-01-01 00:00:03 ---  -553  -151  8274
00-01-01 00:00:03 ---  -560  -146  8283
00-01-01 00:00:03 ---  -559  -142  8294
00-01-01 00:00:03 ---  -568  -140  8301
00-01-01 00:00:03 ---  -560  -137  8314
00-01-01 00:00:03 ---  -552  -134  8327
00-01-01 00:00:03 ---  -543  -134  8338
00-01-01 00:00:03 ---  -530  -136  8339
00-01-01 00:00:03 ---  -534  -143  8328
00-01-01 00:00:03 ---  -533  -146  8308
00-01-01 00:00:03 ---  -539  -153  8285
00-01-01 00:00:03 ---  -540  -153  8277
00-01-01 00:00:03 ---  -543  -155  8274
00-01-01 00:00:03 ---  -547  -156  8281
00-01-01 00:00:03 ---  -546  -156  8288
00-01-01 00:00:03 ---  -542  -157  8288
00-01-01 00:00:03 ---  -537  -152  8287
00-01-01 00:00:03 ---  -531  -149  8283
00-01-01 00:00:03 ---  -525  -145  8286
00-01-01 00:00:03 ---  -518  -140  8283
00-01-01 00:00:03 ---  -513  -136  8285
00-01-01 00:00:03 ---  -511  -132  8273
00-01-01 00:00:03 ---  -520  -128  8263
00-01-01 00:00:03 ---  -535  -128  8258
00-01-01 00:00:03 ---  -549  -130  8248
00-01-01 00:00:03 ---  -558  -135  8257
00-01-01 00:00:03 ---  -560  -140  8261
00-01-01 00:00:03 ---  -555  -139  8265
00-01-01 00:00:03 ---  -547  -139  8269
00-01-01 00:00:03 ---  -541  -135  8268
00-01-01 00:00:03 ---  -537  -135  8267
00-01-01 00:00:03 ---  -530  -131  8263
00-01-01 00:00:03 ---  -525  -126  8262
00-01-01 00:00:03 ---  -520  -114  8267
00-01-01 00:00:03 ---  -517  -108  8292
00-01-01 00:00:03 ---  -505  -106  8306
00-01-01 00:00:03 ---  -502  -117  8310
00-01-01 00:00:03 ---  -493  -129  8318
00-01-01 00:00:03 ---  -496  -144  8317
00-01-01 00:00:03 ---  -509  -140  8325
00-01-01 00:00:03 ---  -522  -128  8321
00-01-01 00:00:03 ---  -532  -112  8317
00-01-01 00:00:03 ---  -531  -101  8312
00-01-01 00:00:03 ---  -265   -97  8301
00-01-01 00:00:03 ---  -511   -96  8306
00-01-01 00:00:03 ---  -506   -92  8298
00-01-01 00:00:03 ---  -511   -96  8296
00-01-01 00:00:03 ---  -514  -101  8291
00-01-01 00:00:03 ---  -512  -111  8273
00-01-01 00:00:03 ---  -511  -127  8271
00-01-01 00:00:03 ---  -503  -131  8265
00-01-01 00:00:03 ---  -500  -141  8260
00-01-01 00:00:03 ---  -500  -137  8270
00-01-01 00:00:03 ---  -497  -130  8260
00-01-01 00:00:03 ---  -497  -121  8267
00-01-01 00:00:03 ---  -504  -110  8272
00-01-01 00:00:03 ---  -505   -99  8282
00-01-01 00:00:03 ---  -508   -98  8289
00-01-01 00:00:03 ---  -510   -94  8295
00-01-01 00:00:03 ---  -515   -98  8297
00-01-01 00:00:03 ---  -513   -97  8297
00-01-01 00:00:03 ---  -516  -100  8297
00-01-01 00:00:03 ---  -512  -103  8288
00-01-01 00:00:03 ---  -497  -111  8272
00-01-01 00:00:03 ---  -486  -123  8268
00-01-01 00:00:03 ---  -475  -133  8267
00-01-01 00:00:03 ---  -470  -143  8267
00-01-01 00:00:03 ---  -482  -139  8272
00-01-01 00:00:03 ---  -486  -138  8268
00-01-01 00:00:03 ---  -497  -134  8271
00-01-01 00:00:03 ---  -500  -132  8265
00-01-01 00:00:03 ---  -500  -134  8269
00-01-01 00:00:03 ---  -505  -130  8252
00-01-01 00:00:03 ---  -510  -130  8253
00-01-01 00:00:03 ---  -511  -129  8252
00-01-01 00:00:03 ---  -514  -129  8268
00-01-01 00:00:03 ---  -517  -131  8277
00-01-01 00:00:03 ---  -520  -136  8279
00-01-01 00:00:04 ---  -516  -136  8273
00-01-01 00:00:04 ---  -521  -148  8261
00-01-01 00:00:04 ---  -515  -149  8256
00-01-01 00:00:04 ---  -523  -159  8256
00-01-01 00:00:04 ---  -524  -160  8255
00-01-01 00:00:04 ---  -528  -163  8255
00-01-01 00:00:04 ---  -530  -156  8252
00-01-01 00:00:04 --- one package
00-01-01 00:00:04 ---  -544  -156  8282
00-01-01 00:00:04 ---  -546  -149  8286
00-01-01 00:00:04 ---  -538  -141  8288
00-01-01 00:00:04 ---  -539  -130  8297
00-01-01 00:00:04 ---  -540  -127  8305
00-01-01 00:00:04 ---  -545  -127  8297
00-01-01 00:00:04 ---  -553  -128  8300
00-01-01 00:00:04 ---  -558  -134  8289
00-01-01 00:00:04 ---  -560  -134  8281
00-01-01 00:00:04 ---  -550  -133  8277
00-01-01 00:00:04 ---  -540  -137  8271
00-01-01 00:00:04 ---  -531  -136  8272
00-01-01 00:00:04 ---  -526  -129  8275
00-01-01 00:00:04 ---  -530  -129  8276
00-01-01 00:00:04 ---  -534  -123  8278
00-01-01 00:00:04 ---  -542  -123  8274
00-01-01 00:00:04 ---  -551  -122  8279
00-01-01 00:00:04 ---  -557  -123  8285
00-01-01 00:00:04 ---  -558  -118  8295
00-01-01 00:00:04 ---  -555  -122  8298
00-01-01 00:00:04 ---  -554  -122  8292
00-01-01 00:00:04 ---  -543  -125  8271
00-01-01 00:00:04 ---  -539  -134  8255
00-01-01 00:00:04 ---  -531  -140  8244
00-01-01 00:00:04 ---  -524  -157  8243
00-01-01 00:00:04 ---  -527  -165  8252
00-01-01 00:00:04 ---  -529  -167  8255
00-01-01 00:00:04 ---  -536  -162  8262
00-01-01 00:00:04 ---  -538  -154  8265
00-01-01 00:00:04 ---  -539  -144  8272
00-01-01 00:00:04 ---  -544  -140  8288
00-01-01 00:00:04 ---  -545  -138  8295
00-01-01 00:00:04 ---  -557  -135  8300
00-01-01 00:00:04 ---  -550  -134  8293
00-01-01 00:00:04 ---  -552  -131  8273
00-01-01 00:00:04 ---  -544  -133  8262
00-01-01 00:00:04 ---  -545  -134  8250
00-01-01 00:00:04 ---  -546  -140  8257
00-01-01 00:00:04 ---  -547  -145  8265
00-01-01 00:00:04 ---  -552  -144  8277
00-01-01 00:00:04 ---  -543  -143  8282
00-01-01 00:00:04 ---  -541  -146  8288
00-01-01 00:00:04 ---  -539  -145  8286
00-01-01 00:00:04 ---  -536  -147  8289
00-01-01 00:00:04 ---  -534  -148  8286
00-01-01 00:00:04 ---  -540  -150  8290
00-01-01 00:00:04 ---  -533  -153  8286
00-01-01 00:00:04 ---  -530  -156  8290
00-01-01 00:00:04 ---  -519  -156  8287
00-01-01 00:00:04 ---  -507  -150  8292
00-01-01 00:00:04 ---  -492  -148  8288
00-01-01 00:00:04 ---  -486  -143  8287
00-01-01 00:00:05 ---  -481  -143  8288
00-01-01 00:00:05 ---  -489  -139  8282
00-01-01 00:00:05 ---  -506  -139  8285
00-01-01 00:00:05 ---  -522  -138  8286
00-01-01 00:00:05 ---  -537  -139  8291
00-01-01 00:00:05 ---  -542  -140  8297
00-01-01 00:00:05 ---  -538  -139  8294
00-01-01 00:00:05 ---  -535  -132  8291
00-01-01 00:00:05 ---  -527  -128  8277
00-01-01 00:00:05 ---  -525  -130  8267
00-01-01 00:00:05 ---  -525  -129  8254
00-01-01 00:00:05 ---  -528  -126  8245
00-01-01 00:00:05 ---  -532  -128  8244
00-01-01 00:00:05 ---  -540  -121  8244
00-01-01 00:00:05 ---  -545  -124  8259
00-01-01 00:00:05 ---  -538  -122  8269
00-01-01 00:00:05 ---  -534  -126  8289
00-01-01 00:00:05 ---  -525  -128  8292
00-01-01 00:00:05 ---  -520  -132  8297
00-01-01 00:00:05 ---  -516  -131  8300
00-01-01 00:00:05 ---  -518  -129  8295
00-01-01 00:00:05 ---  -522  -116  8300
00-01-01 00:00:05 ---  -520  -109  8289
00-01-01 00:00:05 ---  -526  -101  8286
00-01-01 00:00:05 ---  -524  -102  8277
00-01-01 00:00:05 ---  -531  -111  8279
00-01-01 00:00:05 ---  -525  -117  8278
00-01-01 00:00:05 ---  -530  -125  8280
00-01-01 00:00:05 ---  -527  -123  8283
00-01-01 00:00:05 ---  -528  -129  8284
00-01-01 00:00:05 ---  -535  -127  8285
00-01-01 00:00:05 ---  -538  -129  8292
00-01-01 00:00:05 ---  -533  -124  8293
00-01-01 00:00:05 ---  -532  -125  8288
00-01-01 00:00:05 ---  -530  -122  8287
00-01-01 00:00:05 ---  -533  -125  8279
00-01-01 00:00:05 ---  -542  -122  8273
00-01-01 00:00:05 ---  -547  -122  8261
00-01-01 00:00:05 ---  -539  -120  8254
00-01-01 00:00:05 ---  -537  -128  8252
00-01-01 00:00:05 ---  -527  -133  8257
00-01-01 00:00:05 ---  -528  -140  8271
00-01-01 00:00:05 ---  -534  -141  8278
00-01-01 00:00:05 ---  -537  -134  8282
00-01-01 00:00:05 ---  -538  -131  8276
00-01-01 00:00:05 ---  -530  -122  8268
00-01-01 00:00:05 ---  -529  -122  8269
00-01-01 00:00:05 ---  -528  -126  8272
00-01-01 00:00:05 ---  -533  -138  8283
00-01-01 00:00:05 ---  -537  -146  8283
00-01-01 00:00:05 ---  -533  -153  8279
00-01-01 00:00:05 ---  -530  -148  8262
00-01-01 00:00:05 ---  -529  -142  8256
00-01-01 00:00:05 ---  -527  -140  8253
00-01-01 00:00:05 ---  -535  -138  8257
00-01-01 00:00:05 ---  -533  -143  8257
00-01-01 00:00:05 ---  -543  -146  8256
00-01-01 00:00:05 ---  -547  -148  8251
00-01-01 00:00:05 ---  -556  -153  8252
00-01-01 00:00:05 ---  -553  -160  8255
00-01-01 00:00:05 ---  -546  -165  8259
00-01-01 00:00:05 ---  -544  -168  8265
00-01-01 00:00:05 ---  -539  -169  8263
00-01-01 00:00:05 ---  -543  -164  8270
00-01-01 00:00:05 ---  -542  -165  8277
00-01-01 00:00:05 ---  -540  -163  8283
00-01-01 00:00:05 ---  -531  -171  8293
00-01-01 00:00:05 ---  -532  -169  8292
00-01-01 00:00:05 ---  -528  -171  8294
00-01-01 00:00:05 ---  -529  -167  8285
00-01-01 00:00:05 ---  -535  -163  8276
00-01-01 00:00:05 ---  -535  -160  8260
00-01-01 00:00:05 ---  -539  -155  8254
00-01-01 00:00:05 ---  -533  -151  8252
00-01-01 00:00:05 ---  -527  -138  8261
00-01-01 00:00:05 ---  -520  -132  8271
00-01-01 00:00:05 ---  -516  -130  8278
00-01-01 00:00:05 ---  -512  -130  8269
00-01-01 00:00:05 ---  -510  -134  8258
00-01-01 00:00:05 ---  -508  -129  8248
00-01-01 00:00:05 ---  -509  -132  8238
00-01-01 00:00:05 ---  -511  -128  8239
00-01-01 00:00:05 ---  -524  -130  8246
00-01-01 00:00:05 ---  -526  -131  8260
00-01-01 00:00:05 ---  -538  -123  8274
00-01-01 00:00:05 ---  -540  -122  8295
00-01-01 00:00:05 ---  -545  -116  8307
00-01-01 00:00:05 ---  -545  -114  8308
00-01-01 00:00:05 ---  -545  -114  8302
00-01-01 00:00:05 ---  -538  -108  8295
00-01-01 00:00:05 ---  -532  -108  8288
00-01-01 00:00:05 ---  -528  -109  8289
00-01-01 00:00:05 ---  -526  -113  8297
00-01-01 00:00:05 ---  -533  -114  8299
00-01-01 00:00:05 ---  -538  -118  8306
00-01-01 00:00:05 ---  -543  -113  8306
00-01-01 00:00:05 ---  -552  -114  8312
00-01-01 00:00:05 ---  -555  -116  8312
00-01-01 00:00:05 ---  -556  -119  8307
00-01-01 00:00:05 ---  -551  -125  8299
00-01-01 00:00:05 ---  -539  -121  8287
00-01-01 00:00:05 ---  -531  -123  8277
00-01-01 00:00:05 ---  -529  -117  8274
00-01-01 00:00:05 ---  -536  -122  8275
00-01-01 00:00:05 ---  -550  -127  8278
00-01-01 00:00:05 ---  -564  -133  8284
00-01-01 00:00:05 ---  -575  -137  8286
00-01-01 00:00:05 ---  -574  -139  8289
00-01-01 00:00:05 ---  -567  -140  8285
00-01-01 00:00:05 ---  -552  -137  8274
00-01-01 00:00:05 ---  -539  -135  8267
00-01-01 00:00:05 ---  -530  -132  8255
00-01-01 00:00:05 ---  -520  -130  8263
00-01-01 00:00:05 ---  -512  -124  8268
00-01-01 00:00:05 ---  -511  -124  8278
00-01-01 00:00:05 ---  -515  -120  8285
00-01-01 00:00:05 ---  -521  -127  8283
00-01-01 00:00:05 ---  -518  -132  8284
00-01-01 00:00:05 ---  -521  -138  8285
00-01-01 00:00:05 ---  -514  -142  8282
00-01-01 00:00:05 ---  -514  -143  8287
00-01-01 00:00:05 ---  -516  -142  8290
00-01-01 00:00:05 ---  -528  -146  8293
00-01-01 00:00:05 ---  -540  -148  8300
00-01-01 00:00:05 ---  -545  -149  8299
00-01-01 00:00:05 ---  -546  -150  8294
00-01-01 00:00:05 ---  -536  -146  8284
00-01-01 00:00:05 ---  -526  -141  8268
00-01-01 00:00:05 ---  -525  -138  8252
00-01-01 00:00:05 ---  -525  -132  8243
00-01-01 00:00:05 ---  -539  -131  8235
00-01-01 00:00:05 ---  -541  -131  8232
00-01-01 00:00:05 ---  -541  -132  8238
00-01-01 00:00:05 ---  -534  -135  8243
00-01-01 00:00:05 ---  -522  -146  8256
00-01-01 00:00:05 ---  -519  -152  8274
00-01-01 00:00:05 ---  -518  -164  8290
00-01-01 00:00:05 ---  -518  -162  8303
