00-01-01 00:00:02 --- one package
00-01-01 00:00:02 --- -2075   255 15845
00-01-01 00:00:02 --- -2075   255 15845
00-01-01 00:00:02 --- -2075   255 15845
00-01-01 00:00:02 --- -2075   255 15845
00-01-01 00:00:02 --- -2075   255 15845
00-01-01 00:00:02 --- -2075   255 15845
00-01-01 00:00:02 --- -2075   255 15845
00-01-01 00:00:02 --- -2075   255 15845
00-01-01 00:00:02 --- -2075   255 15845
00-01-01 00:00:02 --- -2075   255 15845
00-01-01 00:00:02 --- -2075   255 15845
00-01-01 00:00:02 --- -2075   255 15845
00-01-01 00:00:02 --- -2075   255 15845
00-01-01 00:00:02 --- -2075   255 15845
00-01-01 00:00:02 ---   517   273  8755
00-01-01 00:00:02 ---   583   302  8728
00-01-01 00:00:02 ---   629   327  8759
00-01-01 00:00:02 ---   663   348  8814
00-01-01 00:00:02 ---   678   371  8871
00-01-01 00:00:02 ---   674   405  8950
00-01-01 00:00:02 ---   661   444  8959
00-01-01 00:00:02 ---   637   491  8952
00-01-01 00:00:02 ---   609   536  8937
00-01-01 00:00:02 ---   575   580  8930
00-01-01 00:00:02 ---   541   614  8923
00-01-01 00:00:02 ---   509   660  8910
00-01-01 00:00:02 ---   485   662  8898
00-01-01 00:00:02 ---   468   658  8864
00-01-01 00:00:02 ---   460   650  8833
00-01-01 00:00:02 ---   455   637  8801
00-01-01 00:00:02 ---   454   633  8770
00-01-01 00:00:02 ---   458   617  8751
00-01-01 00:00:02 ---   452   599  8730
00-01-01 00:00:02 ---   432   573  8721
00-01-01 00:00:02 ---   411   541  8703
00-01-01 00:00:02 ---   369   509  8692
00-01-01 00:00:02 ---   337   479  8665
00-01-01 00:00:02 ---   297   449  8637
00-01-01 00:00:02 ---   260   427  8601
00-01-01 00:00:02 ---   223   409  8568
00-01-01 00:00:02 ---   186   402  8530
00-01-01 00:00:02 ---   143   410  8506
00-01-01 00:00:02 ---   118   417  8471
00-01-01 00:00:02 ---    95   433  8433
00-01-01 00:00:02 ---    88   447  8382
00-01-01 00:00:02 ---    94   457  8324
00-01-01 00:00:02 ---   103   477  8258
00-01-01 00:00:02 ---   119   488  8199
00-01-01 00:00:02 ---   140   505  8138
00-01-01 00:00:02 ---   170   516  8071
00-01-01 00:00:02 ---   197   517  8010
00-01-01 00:00:02 ---   233   508  7931
00-01-01 00:00:02 ---   269   490  7867
00-01-01 00:00:02 ---   301   472  7798
00-01-01 00:00:02 ---   341   447  7739
00-01-01 00:00:02 ---   377   436  7687
00-01-01 00:00:02 ---   415   418  7647
00-01-01 00:00:02 ---   455   407  7614
00-01-01 00:00:02 ---   491   399  7595
00-01-01 00:00:02 ---   526   390  7583
00-01-01 00:00:02 ---   562   385  7574
00-01-01 00:00:02 ---   607   373  7577
00-01-01 00:00:02 ---   655   356  7583
00-01-01 00:00:02 ---   719   342  7594
00-01-01 00:00:02 ---   783   330  7604
00-01-01 00:00:02 ---   858   326  7611
00-01-01 00:00:02 ---   932   333  7613
00-01-01 00:00:02 ---  1007   334  7616
00-01-01 00:00:02 ---  1072   343  7627
00-01-01 00:00:02 ---  1128   348  7638
00-01-01 00:00:02 ---  1179   353  7647
00-01-01 00:00:02 ---  1239   366  7659
00-01-01 00:00:02 ---  1303   378  7668
00-01-01 00:00:02 ---  1384   390  7675
00-01-01 00:00:02 ---  1458   402  7699
00-01-01 00:00:02 ---  1541   406  7723
00-01-01 00:00:02 ---  1610   414  7763
00-01-01 00:00:02 ---  1677   417  7808
00-01-01 00:00:02 ---  1749   426  7864
00-01-01 00:00:02 ---  1807   434  7926
00-01-01 00:00:02 ---  1872   438  7985
00-01-01 00:00:02 ---  1927   443  8047
00-01-01 00:00:02 ---  1981   441  8095
00-01-01 00:00:02 ---  2040   443  8127
00-01-01 00:00:02 ---  2098   441  8148
00-01-01 00:00:02 ---  2168   443  8165
00-01-01 00:00:02 ---  2236   441  8176
00-01-01 00:00:02 ---  2307   442  8195
00-01-01 00:00:02 ---  2375   445  8223
00-01-01 00:00:02 ---  2432   448  8254
00-01-01 00:00:02 ---  2479   467  8294
00-01-01 00:00:02 ---  2513   489  8336
00-01-01 00:00:02 ---  2534   523  8381
00-01-01 00:00:02 ---  2552   556  8434
00-01-01 00:00:02 ---  2557   588  8473
00-01-01 00:00:02 ---  2567   619  8511
00-01-01 00:00:02 ---  2566   648  8534
00-01-01 00:00:02 ---  2562   676  8551
00-01-01 00:00:02 ---  2556   699  8565
00-01-01 00:00:02 ---  2539   723  8580
00-01-01 00:00:03 ---  2523   742  8579
00-01-01 00:00:03 ---  2511   766  8566
00-01-01 00:00:03 ---  2497   787  8543
00-01-01 00:00:03 ---  2495   798  8503
00-01-01 00:00:03 ---  2488   803  8455
00-01-01 00:00:03 ---  2482   803  8397
00-01-01 00:00:03 ---  2469   798  8332
00-01-01 00:00:03 ---  2448   801  8262
00-01-01 00:00:03 ---  2416   801  8197
00-01-01 00:00:03 ---  2379   809  8139
00-01-01 00:00:03 ---  2332   806  8085
00-01-01 00:00:03 ---  2290   809  8040
00-01-01 00:00:03 ---  2248   805  7991
00-01-01 00:00:03 ---  2208   809  7946
00-01-01 00:00:03 ---  2176   817  7897
00-01-01 00:00:03 ---  2135   827  7847
00-01-01 00:00:03 ---  2095   835  7801
00-01-01 00:00:03 ---  2050   838  7753
00-01-01 00:00:03 ---  2002   832  7659
00-01-01 00:00:03 ---  1959   822  7618
00-01-01 00:00:03 ---  1924   804  7579
00-01-01 00:00:03 ---  1895   529  7557
00-01-01 00:00:03 ---  1878   757  7526
00-01-01 00:00:03 ---  1869   700  7501
00-01-01 00:00:03 ---  1868   667  7465
00-01-01 00:00:03 ---  1874   640  7426
00-01-01 00:00:03 ---  1887   611  7375
00-01-01 00:00:03 ---  1900   592  7324
00-01-01 00:00:03 ---  1922   572  7260
00-01-01 00:00:03 ---  1979   554  7197
00-01-01 00:00:03 ---  2008   533  7129
00-01-01 00:00:03 ---  2041   505  7065
00-01-01 00:00:03 ---  2074   476  7006
00-01-01 00:00:03 ---  2103   447  6955
00-01-01 00:00:03 ---  2137   425  6919
00-01-01 00:00:03 ---  2177   412  6895
00-01-01 00:00:03 ---  2222   415  6891
00-01-01 00:00:03 ---  2277   431  6896
00-01-01 00:00:03 ---  2339   454  6906
00-01-01 00:00:03 ---  2400   484  6922
00-01-01 00:00:03 ---  2465   509  6926
00-01-01 00:00:03 ---  2532   537  6937
00-01-01 00:00:03 ---  2605   560  6945
00-01-01 00:00:03 ---  2684   580  6954
00-01-01 00:00:03 ---  2760   600  6974
00-01-01 00:00:03 ---  2835   615  6983
00-01-01 00:00:03 ---  2897   638  7002
00-01-01 00:00:03 ---  2959   656  7016
00-01-01 00:00:03 ---  3013   674  7042
00-01-01 00:00:03 ---  3066   691  7060
00-01-01 00:00:03 ---  3120   707  7078
00-01-01 00:00:03 ---  3177   724  7089
00-01-01 00:00:03 ---  3234   737  7093
00-01-01 00:00:03 ---  3296   741  7105
00-01-01 00:00:03 ---  3353   729  7126
00-01-01 00:00:03 ---  3409   713  7154
00-01-01 00:00:03 ---  3458   688  7189
00-01-01 00:00:03 ---  3509   668  7230
00-01-01 00:00:03 ---  3550   654  7270
00-01-01 00:00:03 ---  3588   647  7316
00-01-01 00:00:03 ---  3618   644  7359
00-01-01 00:00:03 ---  3631   643  7403
00-01-01 00:00:03 ---  3654   641  7441
00-01-01 00:00:03 ---  3663   638  7479
00-01-01 00:00:03 ---  3679   634  7506
00-01-01 00:00:03 ---  3693   628  7520
00-01-01 00:00:03 ---  3704   630  7519
00-01-01 00:00:03 ---  3711   632  7507
00-01-01 00:00:03 ---  3717   643  7490
00-01-01 00:00:03 ---  3727   659  7472
00-01-01 00:00:03 ---  3742   683  7453
00-01-01 00:00:03 ---  3758   706  7429
00-01-01 00:00:03 ---  3784   738  7411
00-01-01 00:00:03 ---  3804   768  7388
00-01-01 00:00:03 ---  3826   800  7369
00-01-01 00:00:03 ---  3841   835  7347
00-01-01 00:00:03 ---  3855   867  7313
00-01-01 00:00:03 ---  3861   897  7275
00-01-01 00:00:03 ---  3868   924  7229
00-01-01 00:00:03 ---  3871   952  7188
00-01-01 00:00:03 ---  3869   978  7152
00-01-01 00:00:03 ---  3866  1016  7124
00-01-01 00:00:03 ---  3844  1058  7111
00-01-01 00:00:03 ---  3811  1102  7112
00-01-01 00:00:03 ---  3762  1148  7126
00-01-01 00:00:03 ---  3710  1185  7150
00-01-01 00:00:03 ---  3663  1215  7173
00-01-01 00:00:03 ---  3627  1235  7187
00-01-01 00:00:03 ---  3603  1252  7192
00-01-01 00:00:03 ---  3584  1257  7182
00-01-01 00:00:03 ---  3582  1259  7167
00-01-01 00:00:03 ---  3588  1242  7143
00-01-01 00:00:03 ---  3613  1229  7129
00-01-01 00:00:03 ---  3647  1195  7113
00-01-01 00:00:03 ---  3688  1163  7101
00-01-01 00:00:03 ---  3728  1122  7086
00-01-01 00:00:03 ---  3769  1074  7071
00-01-01 00:00:03 ---  3792  1030  7056
00-01-01 00:00:03 ---  3809   981  7056
00-01-01 00:00:03 ---  3805   933  7061
00-01-01 00:00:03 ---  3786   880  7080
00-01-01 00:00:03 ---  3764   834  7105
00-01-01 00:00:03 ---  3730   787  7135
00-01-01 00:00:03 ---  3705   754  7159
00-01-01 00:00:03 ---  3678   728  7192
00-01-01 00:00:03 ---  3668   706  7206
00-01-01 00:00:03 ---  3660   687  7237
00-01-01 00:00:03 ---  3661   666  7247
00-01-01 00:00:03 ---  3657   646  7262
00-01-01 00:00:03 ---  3662   624  7252
00-01-01 00:00:03 ---  3665   603  7242
00-01-01 00:00:03 ---  3678   581  7210
00-01-01 00:00:03 ---  3691   560  7174
00-01-01 00:00:03 ---  3702   541  7129
00-01-01 00:00:03 ---  3707   533  7073
00-01-01 00:00:03 ---  3711   532  7027
00-01-01 00:00:03 ---  3714   542  6932
00-01-01 00:00:03 ---  3716   556  6891
00-01-01 00:00:03 ---  3719   578  6859
00-01-01 00:00:03 ---  3726   595  6831
00-01-01 00:00:03 ---  3731   615  6804
00-01-01 00:00:03 ---  3737   630  6772
00-01-01 00:00:03 ---  3748   654  6739
00-01-01 00:00:03 ---  3753   664  6702
00-01-01 00:00:03 ---  3768   668  6676
00-01-01 00:00:03 ---  3781   670  6644
00-01-01 00:00:03 ---  3792   671  6615
00-01-01 00:00:03 ---  3801   673  6581
00-01-01 00:00:03 ---  3815   684  6544
00-01-01 00:00:03 ---  3821   696  6511
00-01-01 00:00:03 ---  3832   711  6485
00-01-01 00:00:03 ---  3835   723  6471
00-01-01 00:00:03 ---  3856   728  6449
00-01-01 00:00:03 ---  3875   726  6445
00-01-01 00:00:03 ---  3894   728  6421
00-01-01 00:00:03 ---  3911   728  6418
00-01-01 00:00:03 ---  3910   731  6412
00-01-01 00:00:03 ---  3909   732  6413
00-01-01 00:00:03 ---  3910   736  6424
00-01-01 00:00:03 ---  3912   738  6418
00-01-01 00:00:03 ---  3918   744  6415
00-01-01 00:00:03 ---  3922   752  6415
00-01-01 00:00:03 ---  3923   753  6414
00-01-01 00:00:03 ---  3918   754  6415
00-01-01 00:00:03 ---  3919   749  6416
00-01-01 00:00:03 ---  3918   744  6408
00-01-01 00:00:03 ---  3934   741  6398
00-01-01 00:00:03 ---  3960   741  6390
00-01-01 00:00:03 ---  3992   746  6382
00-01-01 00:00:04 ---  4033   746  6364
00-01-01 00:00:04 ---  4069   741  6340
00-01-01 00:00:04 ---  4102   734  6308
00-01-01 00:00:04 ---  4137   720  6282
00-01-01 00:00:04 ---  4163   706  6267
00-01-01 00:00:04 ---  4194   694  6263
00-01-01 00:00:04 ---  4217   681  6280
00-01-01 00:00:04 --- one package
00-01-01 00:00:04 --- -4948   -31  6951
00-01-01 00:00:04 --- -4945   -40  6952
00-01-01 00:00:04 --- -4945   -54  6942
00-01-01 00:00:04 --- -4934   -65  6923
00-01-01 00:00:04 --- -4920   -70  6889
