00-01-01 00:00:02 --- one package
00-01-01 00:00:02 ---  6603 11712 13017
00-01-01 00:00:02 ---  6603 11712 13017
00-01-01 00:00:02 ---  6603 11712 13017
00-01-01 00:00:02 ---  6603 11712 13017
00-01-01 00:00:02 ---  6603 11712 13017
00-01-01 00:00:02 ---  6603 11712 13017
00-01-01 00:00:02 ---  6603 11712 13017
00-01-01 00:00:02 ---  6603 11712 13017
00-01-01 00:00:02 ---  6603 11712 13017
00-01-01 00:00:02 ---  6603 11712 13017
00-01-01 00:00:02 ---  6603 11712 13017
00-01-01 00:00:02 ---  6603 11712 13017
00-01-01 00:00:02 ---  6603 11712 13017
00-01-01 00:00:02 ---  6603 11712 13017
00-01-01 00:00:02 ---  2991  5717  6297
00-01-01 00:00:02 ---  2961  5659  6236
00-01-01 00:00:02 ---  2949  5638  6222
00-01-01 00:00:02 ---  2952  5635  6241
00-01-01 00:00:02 ---  2953  5637  6270
00-01-01 00:00:02 ---  2959  5633  6300
00-01-01 00:00:02 ---  2958  5625  6311
00-01-01 00:00:02 ---  2960  5610  6314
00-01-01 00:00:02 ---  2956  5594  6303
00-01-01 00:00:02 ---  2961  5582  6284
00-01-01 00:00:02 ---  2959  5575  6270
00-01-01 00:00:02 ---  2965  5567  6264
00-01-01 00:00:02 ---  2973  5559  6260
00-01-01 00:00:02 ---  2980  5558  6266
00-01-01 00:00:02 ---  2987  5553  6276
00-01-01 00:00:02 ---  2984  5555  6283
00-01-01 00:00:02 ---  2972  5555  6296
00-01-01 00:00:02 ---  2963  5550  6296
00-01-01 00:00:02 ---  2955  5540  6292
00-01-01 00:00:02 ---  2960  5522  6284
00-01-01 00:00:02 ---  2976  5504  6276
00-01-01 00:00:02 ---  2995  5479  6273
00-01-01 00:00:02 ---  3011  5467  6272
00-01-01 00:00:02 ---  3021  5452  6267
00-01-01 00:00:02 ---  3028  5452  6265
00-01-01 00:00:02 ---  3036  5445  6263
00-01-01 00:00:02 ---  3043  5438  6263
00-01-01 00:00:02 ---  3060  5424  6269
00-01-01 00:00:02 ---  3076  5417  6262
00-01-01 00:00:02 ---  3090  5411  6255
00-01-01 00:00:02 ---  3098  5407  6241
00-01-01 00:00:02 ---  3103  5407  6239
00-01-01 00:00:02 ---  3104  5403  6234
00-01-01 00:00:02 ---  3103  5406  6239
00-01-01 00:00:02 ---  3100  5413  6242
00-01-01 00:00:02 ---  3095  5418  6244
00-01-01 00:00:02 ---  3082  5426  6240
00-01-01 00:00:02 ---  3073  5428  6235
00-01-01 00:00:02 ---  3064  5432  6217
00-01-01 00:00:02 ---  3064  5434  6204
00-01-01 00:00:02 ---  3066  5434  6188
00-01-01 00:00:02 ---  3073  5431  6183
00-01-01 00:00:02 ---  3075  5432  6182
00-01-01 00:00:02 ---  3070  5426  6179
00-01-01 00:00:02 ---  3063  5422  6179
00-01-01 00:00:02 ---  3046  5412  6178
00-01-01 00:00:02 ---  3031  5394  6170
00-01-01 00:00:02 ---  3010  5391  6164
00-01-01 00:00:02 ---  2984  5380  6139
00-01-01 00:00:02 ---  2962  5370  6116
00-01-01 00:00:02 ---  2938  5355  6090
00-01-01 00:00:02 ---  2917  5341  6063
00-01-01 00:00:02 ---  2881  5331  6053
00-01-01 00:00:02 ---  2866  5323  6055
00-01-01 00:00:02 ---  2850  5317  6064
00-01-01 00:00:02 ---  2834  5312  6082
00-01-01 00:00:02 ---  2818  5297  6089
00-01-01 00:00:02 ---  2798  5282  6102
00-01-01 00:00:02 ---  2787  5258  6105
00-01-01 00:00:02 ---  2777  5236  6113
00-01-01 00:00:02 ---  2761  5217  6125
00-01-01 00:00:02 ---  2742  5202  6131
00-01-01 00:00:02 ---  2718  5194  6143
00-01-01 00:00:02 ---  2685  5190  6146
00-01-01 00:00:02 ---  2667  5183  6150
00-01-01 00:00:02 ---  2652  5179  6146
00-01-01 00:00:02 ---  2644  5172  6144
00-01-01 00:00:02 ---  2639  5166  6131
00-01-01 00:00:02 ---  2626  5165  6120
00-01-01 00:00:02 ---  2613  5164  6110
00-01-01 00:00:02 ---  2590  5161  6115
00-01-01 00:00:02 ---  2567  5165  6122
00-01-01 00:00:02 ---  2551  5161  6135
00-01-01 00:00:02 ---  2536  5163  6132
00-01-01 00:00:02 ---  2522  5163  6122
00-01-01 00:00:02 ---  2514  5166  6105
00-01-01 00:00:02 ---  2503  5167  6092
00-01-01 00:00:02 ---  2497  5172  6079
00-01-01 00:00:02 ---  2498  5168  6066
00-01-01 00:00:02 ---  2494  5166  6066
00-01-01 00:00:02 ---  2483  5162  6066
00-01-01 00:00:02 ---  2472  5154  6071
00-01-01 00:00:02 ---  2448  5148  6079
00-01-01 00:00:02 ---  2441  5149  6086
00-01-01 00:00:02 ---  2427  5146  6093
00-01-01 00:00:02 ---  2428  5154  6100
00-01-01 00:00:03 ---  2422  5161  6109
00-01-01 00:00:03 ---  2425  5163  6115
00-01-01 00:00:03 ---  2417  5170  6122
00-01-01 00:00:03 ---  2412  5159  6127
00-01-01 00:00:03 ---  2401  5152  6139
00-01-01 00:00:03 ---  2387  5133  6157
00-01-01 00:00:03 ---  2374  5117  6174
00-01-01 00:00:03 ---  2360  5101  6186
00-01-01 00:00:03 ---  2346  5089  6193
00-01-01 00:00:03 ---  2335  5078  6188
00-01-01 00:00:03 ---  2324  5071  6183
00-01-01 00:00:03 ---  2315  5061  6175
00-01-01 00:00:03 ---  2310  5054  6162
00-01-01 00:00:03 ---  2300  5043  6156
00-01-01 00:00:03 ---  2296  5031  6156
00-01-01 00:00:03 ---  2288  5017  6170
00-01-01 00:00:03 ---  2291  5006  6188
00-01-01 00:00:03 ---  2289  4989  6193
00-01-01 00:00:03 ---  2278  4983  6194
00-01-01 00:00:03 ---  2273  4976  6191
00-01-01 00:00:03 ---  2254  4976  6185
00-01-01 00:00:03 ---  2242  4984  6186
00-01-01 00:00:03 ---  2232  4990  6195
00-01-01 00:00:03 ---  2224  4996  6199
00-01-01 00:00:03 ---  2217  5001  6207
00-01-01 00:00:03 ---  2213  5000  6221
00-01-01 00:00:03 ---  2211  4999  6227
00-01-01 00:00:03 ---  2206  4990  6241
00-01-01 00:00:03 ---  2202  4981  6244
00-01-01 00:00:03 ---  2195  4969  6245
00-01-01 00:00:03 ---  2191  4959  6242
00-01-01 00:00:03 ---  2199  4954  6233
00-01-01 00:00:03 ---  2204  4952  6237
00-01-01 00:00:03 ---  2218  4955  6236
00-01-01 00:00:03 ---  2224  4961  6251
00-01-01 00:00:03 ---  2230  4967  6258
00-01-01 00:00:03 ---  2243  4972  6262
00-01-01 00:00:03 ---  2256  4970  6260
00-01-01 00:00:03 ---  2267  4967  6252
00-01-01 00:00:03 ---  2276  4957  6241
00-01-01 00:00:03 ---  2282  4951  6246
00-01-01 00:00:03 ---  2285  4949  6247
00-01-01 00:00:03 ---  2299  4961  6263
00-01-01 00:00:03 ---  2305  4975  6274
00-01-01 00:00:03 ---  2324  4997  6289
00-01-01 00:00:03 ---  2337  5007  6298
00-01-01 00:00:03 ---  2361  5017  6307
00-01-01 00:00:03 ---  2389  5020  6308
00-01-01 00:00:03 ---  2419  5028  6304
00-01-01 00:00:03 ---  2451  5038  6295
00-01-01 00:00:03 ---  2471  5053  6275
00-01-01 00:00:03 ---  2488  5063  6252
00-01-01 00:00:03 ---  2495  5074  6237
00-01-01 00:00:03 ---  2495  5081  6230
00-01-01 00:00:03 ---  2501  5095  6232
00-01-01 00:00:03 ---  2506  5106  6248
00-01-01 00:00:03 ---  2516  5122  6254
00-01-01 00:00:03 ---  2528  5136  6264
00-01-01 00:00:03 ---  2539  5149  6274
00-01-01 00:00:03 ---  2544  5161  6283
00-01-01 00:00:03 ---  2554  5170  6297
00-01-01 00:00:03 ---  2554  5178  6301
00-01-01 00:00:03 ---  2557  5181  6317
00-01-01 00:00:03 ---  2554  5184  6328
00-01-01 00:00:03 ---  2549  5180  6337
00-01-01 00:00:03 ---  2541  5180  6348
00-01-01 00:00:03 ---  2541  5183  6358
00-01-01 00:00:03 ---  2537  5188  6367
00-01-01 00:00:03 ---  2533  5193  6384
00-01-01 00:00:03 ---  2524  5190  6393
00-01-01 00:00:03 ---  2510  5181  6402
00-01-01 00:00:03 ---  2490  5170  6397
00-01-01 00:00:03 ---  2463  5161  6396
00-01-01 00:00:03 ---  2455  5156  6392
00-01-01 00:00:03 ---  2448  5161  6400
00-01-01 00:00:03 ---  2450  5168  6406
00-01-01 00:00:03 ---  2447  5178  6413
00-01-01 00:00:03 ---  2439  5191  6413
00-01-01 00:00:03 ---  2425  5201  6407
00-01-01 00:00:03 ---  2406  5220  6394
00-01-01 00:00:03 ---  2386  5234  6381
00-01-01 00:00:03 ---  2373  5255  6368
00-01-01 00:00:03 ---  2362  5265  6351
00-01-01 00:00:03 ---  2360  5282  6339
00-01-01 00:00:03 ---  2358  5288  6321
00-01-01 00:00:03 ---  2358  5303  6306
00-01-01 00:00:03 ---  2357  5315  6286
00-01-01 00:00:03 ---  2352  5329  6270
00-01-01 00:00:03 ---  2351  5336  6263
00-01-01 00:00:03 ---  2340  5348  6245
00-01-01 00:00:03 ---  2341  5352  6240
00-01-01 00:00:03 ---  2328  5365  6228
00-01-01 00:00:03 ---  2323  5369  6213
00-01-01 00:00:03 ---  2304  5379  6202
00-01-01 00:00:03 ---  2291  5383  6190
00-01-01 00:00:03 ---  2274  5393  6184
00-01-01 00:00:03 ---  2259  5404  6174
00-01-01 00:00:03 ---  2250  5415  6171
00-01-01 00:00:03 ---  2252  5427  6160
00-01-01 00:00:03 ---  2252  5431  6157
00-01-01 00:00:03 ---  2264  5438  6151
00-01-01 00:00:03 ---  2262  5434  6144
00-01-01 00:00:03 ---  2259  5439  6146
00-01-01 00:00:03 ---  2245  5443  6148
00-01-01 00:00:03 ---  2238  5449  6154
00-01-01 00:00:03 ---  2234  5455  6159
00-01-01 00:00:03 ---  2240  5457  6156
00-01-01 00:00:03 ---  2250  5454  6154
00-01-01 00:00:03 ---  2257  5455  6148
00-01-01 00:00:03 ---  2261  5449  6147
00-01-01 00:00:03 ---  2256  5456  6148
00-01-01 00:00:03 ---  2251  5459  6147
00-01-01 00:00:03 ---  2248  5466  6139
00-01-01 00:00:03 ---  2246  5469  6132
00-01-01 00:00:03 ---  2252  5470  6113
00-01-01 00:00:03 ---  2253  5464  6100
00-01-01 00:00:03 ---  2252  5465  6085
00-01-01 00:00:03 ---  2257  5464  6065
00-01-01 00:00:03 ---  2255  5472  6048
00-01-01 00:00:03 ---  2259  5480  6025
00-01-01 00:00:03 ---  2263  5488  6012
00-01-01 00:00:03 ---  2261  5498  6000
00-01-01 00:00:03 ---  2262  5509  5997
00-01-01 00:00:03 ---  2257  5522  5990
00-01-01 00:00:03 ---  2257  5532  5986
00-01-01 00:00:03 ---  2253  5544  5980
00-01-01 00:00:03 ---  2255  5550  5977
00-01-01 00:00:03 ---  2257  5557  5973
00-01-01 00:00:03 ---  2255  5566  5971
00-01-01 00:00:03 ---  2252  5579  5969
00-01-01 00:00:03 ---  2245  5592  5970
00-01-01 00:00:03 ---  2245  5614  5961
00-01-01 00:00:03 ---  2251  5629  5957
00-01-01 00:00:03 ---  2259  5649  5947
00-01-01 00:00:03 ---  2270  5653  5947
00-01-01 00:00:03 ---  2276  5662  5944
00-01-01 00:00:03 ---  2280  5662  5949
00-01-01 00:00:03 ---  2284  5661  5942
00-01-01 00:00:03 ---  2294  5662  5941
00-01-01 00:00:03 ---  2297  5668  5933
00-01-01 00:00:03 ---  2311  5669  5930
00-01-01 00:00:03 ---  2320  5673  5917
00-01-01 00:00:03 ---  2330  5674  5900
00-01-01 00:00:03 ---  2342  5673  5865
00-01-01 00:00:03 ---  2361  5685  5831
00-01-01 00:00:03 ---  2377  5712  5821
00-01-01 00:00:03 ---  2399  5755  5840
00-01-01 00:00:03 ---  2412  5803  5894
00-01-01 00:00:03 ---  2421  5850  5944
00-01-01 00:00:04 ---  2423  5874  5998
00-01-01 00:00:04 ---  2430  5881  6025
00-01-01 00:00:04 ---  2436  5867  6044
00-01-01 00:00:04 ---  2451  5837  6060
00-01-01 00:00:04 ---  2465  5800  6061
00-01-01 00:00:04 ---  2488  5767  6057
00-01-01 00:00:04 ---  2507  5735  6039
00-01-01 00:00:04 --- one package
00-01-01 00:00:04 --- -2495  1440  9257
00-01-01 00:00:04 --- -2441  1440  9257
00-01-01 00:00:04 --- -2400  1560  9288
00-01-01 00:00:04 --- -2349  1675  9307
00-01-01 00:00:04 --- -2295  1777  9329
00-01-01 00:00:04 --- -2240  1871  9322
00-01-01 00:00:04 --- -2188  1946  9307
00-01-01 00:00:04 --- -2147  2004  9295
00-01-01 00:00:04 --- -2111  2032  9287
00-01-01 00:00:04 --- -2081  2033  9292
00-01-01 00:00:04 --- -2054  2012  9278
00-01-01 00:00:04 --- -2030  1930  9247
00-01-01 00:00:04 --- -2002  1872  9180
00-01-01 00:00:04 --- -1971  1811  9098
00-01-01 00:00:04 --- -1922  1740  8994
