gpsData.latitude,gpsData.longitude,presentTs
31.93941498,118.8807526,25544544.5
31.9414711,118.8635788,25544548.37
31.93897438,118.8518677,25544551.53
31.94534874,118.8485489,25544554.72
31.95137024,118.8414307,25544558.1
31.95568657,118.8392639,25544561.2
31.96215057,118.8380585,25544564.43
31.96354294,118.8533325,25544567.6
31.96716881,118.8600769,25544570.87
31.95891571,118.8739395,25544574.12
31.92468643,118.9091568,25544577.37
31.91913223,118.9139786,25544580.52
31.88935471,118.9391785,25544583.67
31.84692764,118.9703369,25544586.98
31.80152512,119.0027542,25544590.22
31.7495575,119.0243225,25544593.42
31.69334793,119.0498352,25544597.07
31.67386246,119.0646286,25544600.18
31.66736603,119.052475,25544603.28
31.65431023,119.0529785,25544606.47
31.63907623,119.0517502,25544609.57
31.63879967,119.0445251,25544612.65
31.63912201,119.0449142,25544615.75
31.63932228,119.0445633,25544619
31.63934326,119.0445557,25544640.3
31.63929749,119.0445786,25544650.13
31.63936806,119.0443344,25544653.25
31.63819504,119.0371552,25544656.38
31.639534,119.0339661,25544659.45
31.63941002,119.0340805,25544662.53
31.63925743,119.0341187,25544665.62
31.63927078,119.0341492,25544668.7
31.63990021,119.0337448,25544671.77
31.64066887,119.0332031,25544674.85
31.63954544,119.0339813,25544677.93
31.63937569,119.03405,25544681
31.63961029,119.0338287,25544684.07
31.63934326,119.0340652,25544687.15
31.63964462,119.0338364,25544690.22
31.63978577,119.0336914,25544693.3
31.63969231,119.033371,25544696.37
31.63908577,119.0337448,25544699.47
31.64243698,119.0329895,25544702.53
31.63904572,119.0337448,25544705.63
31.64056587,119.0333633,25544708.72
31.63947487,119.0334625,25544711.78
31.63932419,119.0336761,25544715.33
31.63899422,119.0356674,25544718.4
31.63798714,119.0473404,25544721.48
31.63023567,119.0475388,25544724.55
31.62945747,119.0383072,25544727.63
31.6318512,119.0376816,25544730.7
31.63176918,119.0375748,25544733.77
31.63194084,119.0378113,25544736.85
31.6317997,119.0371094,25544739.93
31.62863159,119.0317154,25544743.02
31.62787056,119.0319138,25544746.1
31.62774849,119.0318451,25544839.55
31.62932396,119.0375977,25544843
31.62991905,119.0475998,25544846.07
31.63872337,119.0473938,25544849.15
31.63963509,119.0447311,25544852.22
31.63962173,119.0446167,25544864.3
31.63966751,119.0432587,25544882.37
31.63921547,119.0360031,25544885.45
31.63930893,119.0335922,25544888.55
31.63908195,119.0331726,25544891.63
31.63925362,119.0333862,25544894.72
31.63923645,119.0335236,25544897.97
31.63929939,119.0331497,25544901.03
31.63915253,119.0329742,25544904.12
31.63917732,119.032959,25544907.18
31.63911247,119.0326996,25544910.27
31.63955688,119.0335541,25544913.35
31.63892174,119.0327148,25544916.43
31.63931847,119.0310516,25544919.5
31.63942337,119.0282135,25544922.58
31.63921165,119.0280457,25544925.65
31.63897705,119.02771,25544928.73
31.63950539,119.0280457,25544931.8
31.63911629,119.0279312,25544934.88
31.63893127,119.0273666,25544937.95
31.63942528,119.028038,25544941.03
31.6392498,119.0281219,25544944.23
31.63924789,119.028038,25544947.3
31.63918304,119.0280991,25544950.38
31.63928986,119.027832,25544953.47
31.63947105,119.0274963,25544956.57
31.63934135,119.0274811,25544959.65
31.63940239,119.0278397,25544962.73
31.63960838,119.0282669,25544965.82
31.63894272,119.0274963,25544968.88
31.63959694,119.0280228,25544971.97
31.63941574,119.0278244,25544975.03
31.63604927,119.0268173,25544978.22
31.62700844,119.0259781,25544981.32
31.6289463,119.0317001,25544984.42
